U_Epp,U_Rpp,dt,f,phi,z,y,rez,imz,rey,imy
14.16,2.96,0.00216,100,1.35716802635079,2248.37837837838,0.000444764995792764,476.672202011236,-2197.26851890914,9.42933413525186e-05,0.00043465465286721
13.92,5.36,0.00096,200,1.20637157897848,1220.59701492537,0.000819271215456102,435.035275241338,-1140.43911812092,0.000291997993076398,0.000765468808322243
13.76,7.2,0.00054,300,1.01787601976309,898.222222222222,0.00111331024245423,471.723523178568,-764.382154536476,0.000584682294613021,0.000947420872854061
13.6,8.48,0.00036,400,0.90477868423386,753.77358490566,0.00132665832290363,465.726255527526,-592.68345026147,0.000819688598092309,0.00104313609269689
13.36,9.44,0.000256,500,0.804247719318987,665.169491525424,0.00150337622627086,461.397016722433,-479.127587825863,0.00104282188923316,0.00108289546358483
13.28,10.16,0.000192,600,0.723822947387088,614.330708661417,0.00162778774673161,460.305374635372,-406.84294474186,0.00121966790528637,0.00107800888179269
13.12,10.64,0.000148,700,0.650937997823805,579.548872180451,0.00172548002075765,461.040275933352,-351.167708101032,0.00137264659302089,0.00104552505120728
13.12,11.12,0.000116,800,0.583079596506266,554.532374100719,0.00180332122470161,462.90754086412,-305.324028757831,0.0015053602503703,0.000992903800005005
13.12,11.28,9.6e-05,900,0.542867210540316,546.666666666667,0.00182926829268293,468.072958520885,-282.404231459003,0.00156627625917905,0.000944987389623373
13.12,11.52,8e-05,1000,0.502654824574367,535.277777777778,0.0018681888946549,469.067492345701,-257.872036109446,0.00163710640796985,0.000900006863916022
